timestamp,test_name,execution_time
2025-09-17T09:52:20.126Z,Performance Test,1.5
2025-09-17T10:48:07.133Z,Login Learner,6.246
2025-09-17T10:48:21.232Z,Login Educator,3.063
2025-09-17T10:48:38.505Z,Login Curator,3.153
2025-09-17T10:48:55.770Z,Communicator Learner,6.348
2025-09-17T10:49:18.176Z,Communicator Educator,6.13
2025-09-17T10:54:46.179Z,Login Learner,3.194
2025-09-17T10:55:13.108Z,Login Learner,3.234
2025-09-17T10:59:11.417Z,Login Learner,3.229
2025-09-17T11:04:03.512Z,Login Learner,ERROR
2025-09-17T11:07:05.504Z,Login Learner,ERROR
2025-09-17T11:09:23.428Z,Login Learner,ERROR
2025-09-17T11:09:58.295Z,Login Learner,1758107390.96
2025-09-17T11:10:49.725Z,Login Learner,1758107442.37
2025-09-17T11:14:12.497Z,Login Learner,12.745
2025-09-17T11:17:22.342Z,Login Learner,12.38
2025-09-17T11:23:55.813Z,Login Learner,12.48
2025-09-17T11:24:09.140Z,Login Educator,3.2
2025-09-17T11:24:23.847Z,Login Curator,3.186
2025-09-17T11:25:08.744Z,Login Learner,ERROR
2025-09-17T11:26:17.592Z,Login Learner,1.31
2025-09-17T11:26:55.170Z,Login Learner,1.3
2025-09-17T11:28:48.110Z,Login Learner,1.5
2025-09-17T11:35:12.271Z,Login Learner,12.805
2025-09-17T11:37:01.132Z,Login Learner,12.27
2025-09-17T11:40:32.280Z,Login Learner,3.301
2025-09-17T11:41:21.646Z,Login Learner,3.216
