timestamp,test_name,cold_time,warm_time,improvement_seconds,improvement_percent,account
2025-09-24T13:50:06.553Z,Page Load,2.234,0.749,1.4849999999999999,66.5%,A9-106826@area9.dk
2025-09-24T13:57:18.796Z,Page Load,6.54,4.324,2.216,33.9%,A9-106826@area9.dk
2025-09-24T13:58:50.518Z,Page Load,3.392,0.873,2.519,74.3%,A9-106826@area9.dk
2025-09-25T08:02:05.395Z,Page Load,5.787,1.042,4.745,82.0%,A9-106826@area9.dk
2025-09-25T08:23:13.435Z,Page Load,4.728,2.231,2.497,52.8%,A9-106826@area9.dk
2025-09-25T08:38:01.002Z,Login Learner (page load),9.806,2.356,7.449999999999999,76.0%,A9-106821@area9.dk
2025-09-25T08:38:01.002Z,Login Learner (login),3.223,3.248,-0.025000000000000355,-0.8%,A9-106821@area9.dk
2025-09-25T08:43:34.752Z,Page Load,3.051,0.735,2.3160000000000003,75.9%,A9-106826@area9.dk
2025-09-25T08:53:19.591Z,Login Learner (page load),8.012,2.391,5.621,70.2%,A9-106821@area9.dk
2025-09-25T08:53:19.593Z,Login Learner (login),3.19,3.163,0.027000000000000135,0.8%,A9-106821@area9.dk
2025-09-25T08:59:09.348Z,Page Load,7.781,0.72,7.061,90.7%,A9-106826@area9.dk
2025-09-25T09:07:18.364Z,Page Load,3.947,0.96,2.987,75.7%,A9-106826@area9.dk
2025-09-25T09:12:17.261Z,Login Learner (page load),9.031,2.59,6.441000000000001,71.3%,A9-106821@area9.dk
2025-09-25T09:12:17.263Z,Login Learner (login),3.18,3.201,-0.020999999999999908,-0.7%,A9-106821@area9.dk
2025-09-25T09:17:41.259Z,Login Learner (page load),8.73,2.383,6.347,72.7%,A9-106821@area9.dk
2025-09-25T09:17:41.260Z,Login Learner (login),3.202,3.213,-0.01100000000000012,-0.3%,A9-106821@area9.dk
2025-09-25T09:23:35.774Z,Page Load,3.732,0.656,3.076,82.4%,A9-106826@area9.dk
2025-09-25T09:41:20.293Z,Login Curator (page load),7.85,2.334,5.516,70.3%,A9-106810@area9.dk
2025-09-25T09:41:20.294Z,Login Curator (login),5.138,5.1,0.038000000000000256,0.7%,A9-106810@area9.dk
2025-09-25T09:44:55.775Z,Login Educator (page load),9.024,2.506,6.517999999999999,72.2%,A9-106816@area9.dk
2025-09-25T09:44:55.776Z,Login Educator (login),5.183,5.136,0.04699999999999971,0.9%,A9-106816@area9.dk
