timestamp,test_name,execution_time,cache_status
2025-09-17T10:48:07.133Z,Login Learner,6.246,COLD
2025-09-17T10:48:21.232Z,Login Educator,3.063,COLD
2025-09-17T10:48:38.505Z,Login Curator,3.153,COLD
2025-09-17T10:48:55.770Z,Communicator Learner,6.348,COLD
2025-09-17T10:49:18.176Z,Communicator Educator,6.13,COLD
2025-09-17T11:23:55.813Z,Login Learner,12.48,COLD
2025-09-17T11:24:09.140Z,Login Educator,3.2,COLD
2025-09-17T11:24:23.847Z,Login Curator,3.186,COLD
2025-09-17T11:37:01.132Z,Login Learner,12.27,COLD
2025-09-17T11:40:32.280Z,Login Learner,3.301,COLD
2025-09-17T11:41:21.646Z,Login Learner,3.216,COLD
