timestamp,test_name,execution_time,account
2025-09-24T13:50:06.553Z,Page Load,0.749,A9-106826@area9.dk
2025-09-24T13:57:18.794Z,Page Load,4.324,A9-106826@area9.dk
2025-09-24T13:58:50.518Z,Page Load,0.873,A9-106826@area9.dk
2025-09-25T08:02:05.393Z,Page Load,1.042,A9-106826@area9.dk
2025-09-25T08:23:13.433Z,Page Load,2.231,A9-106826@area9.dk
2025-09-25T08:37:50.028Z,Login Learner (page load),2.356,A9-106821@area9.dk
2025-09-25T08:37:50.034Z,Login Learner (login),3.248,A9-106821@area9.dk
2025-09-25T08:43:34.750Z,Page Load,0.735,A9-106826@area9.dk
2025-09-25T08:53:08.631Z,Login Learner (page load),2.391,A9-106821@area9.dk
2025-09-25T08:53:08.635Z,Login Learner (login),3.163,A9-106821@area9.dk
2025-09-25T08:59:09.346Z,Page Load,0.72,A9-106826@area9.dk
2025-09-25T09:07:18.362Z,Page Load,0.96,A9-106826@area9.dk
2025-09-25T09:12:04.832Z,Login Learner (page load),2.59,A9-106821@area9.dk
2025-09-25T09:12:04.836Z,Login Learner (login),3.201,A9-106821@area9.dk
2025-09-25T09:17:29.431Z,Login Learner (page load),2.383,A9-106821@area9.dk
2025-09-25T09:17:29.435Z,Login Learner (login),3.213,A9-106821@area9.dk
2025-09-25T09:23:35.771Z,Page Load,0.656,A9-106826@area9.dk
2025-09-25T09:41:11.309Z,Login Curator (page load),2.334,A9-106810@area9.dk
2025-09-25T09:41:11.312Z,Login Curator (login),5.1,A9-106810@area9.dk
2025-09-25T09:44:43.510Z,Login Educator (page load),2.506,A9-106816@area9.dk
2025-09-25T09:44:43.512Z,Login Educator (login),5.136,A9-106816@area9.dk
